oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta
venta de  terreno miguel hidalgo,14375000.0,575.0,,,19.4390250634,-99.1714918613,easyaviso,2025-05-09 13:26:37.667404
venta  de terreno col. anahuac laguna de terminos,6750000.0,268.0,,,19.4421310299,-99.1727042058,easyaviso,2025-05-09 13:26:37.667404
amplio terreno en bahia de todos los santos colonia veronica anzures,31900000.0,613.0,,,19.4381383,-99.172795,easyaviso,2025-05-09 13:26:37.667404
terrero para hacer 2 viviendas con uso de suelo en pb colonia veronica anzures,7250000.0,120.0,,,19.4371081534,-99.1748536376,easyaviso,2025-05-09 13:26:37.667404
terrero con amplio frente en excelente ubicacion colonia veronica anzures,7300000.0,120.0,,,19.4371081534,-99.1748536376,easyaviso,2025-05-09 13:26:37.667404
excelente terrero con amplio frente en colonia veronica anzures,7200000.0,120.0,,,19.4371081534,-99.1748536376,easyaviso,2025-05-09 13:26:37.667404
terreno en venta   circuito interior,16000000.0,602.0,,,19.4428067,-99.1694613,easyaviso,2025-05-09 13:26:37.667404
en venta terreno en rio grijalva cuautemoc,26550000.0,286.0,,,19.4331892,-99.1705085,easyaviso,2025-05-09 13:26:37.667404
terreno en  venta colonia san rafael cuauhtemoc,25000000.0,635.0,,,19.4371305,-99.1620879,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en colonia anzures,17000000.0,316.0,,,19.4382051,-99.1779247,easyaviso,2025-05-09 13:26:37.667404
4 predios en venta para gran desarrollo,110000000.0,823.0,,,19.4307936,-99.1706647,easyaviso,2025-05-09 13:26:37.667404
terreno en venta  modelo pensil cerca de  colonia anahuac,136438400.0,50.0,,,19.4419733,-99.1860874,easyaviso,2025-05-09 13:26:37.667404
venta de terreno plano en colonia san rafael alcaldia cuauhtemoc,18000000.0,659.0,,,19.4382807529,-99.1574845897,easyaviso,2025-05-09 13:26:37.667404
terreno venta en col. anahuac  280m2,7300000.0,280.0,,,19.4404039,-99.1744623,easyaviso,2025-05-09 13:26:37.667404
miguel hidalgo terreno ideal para desarrollador,16000000.0,602.0,,,19.4428204,-99.1695776,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en san rafael,24900000.0,635.0,,,19.438422,-99.163729,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en lago xochimilco. colonia anahuac. alcaldia miguel hidalgo.,14000000.0,422.0,,,19.4431346,-99.1787159,easyaviso,2025-05-09 13:26:37.667404
venta zona alta plusvalia bodega o como terreno,20000000.0,,,,19.4458043,-99.1746555,easyaviso,2025-05-09 13:26:37.667404
terreno habitacional en venta,40000000.0,49.0,,,19.4374755,-99.1573026,easyaviso,2025-05-09 13:26:37.667404
se vende terreno para inversionistas en la anzures,22950000.0,334.0,,,19.4332648,-99.1808805,easyaviso,2025-05-09 13:26:37.667404
terreno en venta tlaxpana,26356499.224896,864.85,,,19.4416992,-99.16981,easyaviso,2025-05-09 13:26:37.667404
terreno en mariano escobedo en esquina,75000000.0,900.0,,,19.4448408717,-99.1824223431,easyaviso,2025-05-09 13:26:37.667404
insurgentes,100000000.0,785.44,,,19.4304741,-99.1609887,easyaviso,2025-05-09 13:26:37.667404
terreno en venta colonia cuauhtemoc,18000000.0,265.0,,,19.4301468,-99.1685066,easyaviso,2025-05-09 13:26:37.667404
col san rafael cdmx venta terreno,13900000.0,408.0,,,19.4371427,-99.1610135,easyaviso,2025-05-09 13:26:37.667404
terreno en venta san rafael,29000000.0,730.0,,,19.4393873,-99.1650162,easyaviso,2025-05-09 13:26:37.667404
atencion desarrolladores oportunidad de terreno para vivienda,16000000.0,600.0,,,19.4425667,-99.1688339,easyaviso,2025-05-09 13:26:37.667404
san rafael cuahtemoc terreno en venta estacionamiento,18000000.0,659.0,,,19.4354755,-99.1593026,easyaviso,2025-05-09 13:26:37.667404
atencion desarrolladores oportunidad  colonia cuauhtemoc  terreno,54500000.0,700.0,,,19.4325851,-99.1680346,easyaviso,2025-05-09 13:26:37.667404
venta terreno col. anahuac miguel hidalgo,35000000.0,250.0,,,19.4413563,-99.1802147,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en cuauhtemoc,18000000.0,265.0,,,19.4291468,-99.1695066,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en colonia san rafael,18000000.0,659.0,,,19.4373262,-99.1617888,easyaviso,2025-05-09 13:26:37.667404
cuahtemoc terreno en venta oportunidad  desarrolladores,54500000.0,700.0,,,19.4325851,-99.1680346,easyaviso,2025-05-09 13:26:37.667404
venta de terreno en la colonia san rafael rtv626705,28500000.0,678.0,,,19.4373201,-99.1617645,easyaviso,2025-05-09 13:26:37.667404
terrenos en esquina en la colonia san rafael,28500000.0,678.0,,,19.4351388,-99.1620914,easyaviso,2025-05-09 13:26:37.667404
amplio terreno ideal para desarrolladores,16000000.0,601.85,,,19.441146,-99.1698333,easyaviso,2025-05-09 13:26:37.667404
el mejor terreno en san rafael 702m2 h420m 14viv 2249m2 insurgentes sn cosme,34999000.0,757.0,,,19.4365426,-99.1618172,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en colonia san rafael,70000000.0,32.0,,,19.436494,-99.1680599,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en san rafael cuauhtemoc,19000000.0,421.0,,,19.4397554,-99.1580956,easyaviso,2025-05-09 13:26:37.667404
venta terreno con uso de suelo habitacional en colonia anahuac ter_4968 cl,11550000.0,538.74,,,19.4435676458,-99.1766309738,easyaviso,2025-05-09 13:26:37.667404
terreno en venta col. cuauhtemoc,17500000.0,223.0,,,19.4279741,-99.1724393,easyaviso,2025-05-09 13:26:37.667404
terreno en venta colonia san rafael,29000000.0,730.0,,,19.4373262,-99.1617888,easyaviso,2025-05-09 13:26:37.667404
venta terreno  2 en 1 col. san rafael,42000000.0,,,,19.4373262,-99.1617888,easyaviso,2025-05-09 13:26:37.667404
venta de terreno colonia san rafael cuauhtemoc,25000000.0,635.0,,,19.4373262,-99.1617888,easyaviso,2025-05-09 13:26:37.667404
terreno para desarrollar edificio en reforma,974560000.0,600.0,,,19.4257263,-99.171773,easyaviso,2025-05-09 13:26:37.667404
terreno para hacer torre sobre reforma,974560000.0,700.0,,,19.4247591,-99.1710198,easyaviso,2025-05-09 13:26:37.667404
terreno venta col. anahuac,4950000.0,105.0,,,19.4413563,-99.1802147,easyaviso,2025-05-09 13:26:37.667404
cuauhtemoc terreno en venta cuauhtemoc ciudad de mexico,37000000.0,439.0,,,19.4301322,-99.1691413,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en san rafael cuauhtemoc,19000000.0,421.88,,,19.4367642,-99.1612531,easyaviso,2025-05-09 13:26:37.667404
san rafael terreno venta cuauhtemoc cdmx,10000000.0,208.0,,,19.4368598,-99.1653461,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en la col. san rafael cdmx,21000000.0,659.0,,,19.4373262,-99.1617888,easyaviso,2025-05-09 13:26:37.667404
oportunidad unica de terreno en la colonia cuauhtemoc cdmx,17500000.0,252.0,,,19.4279741,-99.1724393,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en col. anahuac 17950000,17950000.0,600.0,,,19.4413563,-99.1802147,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en anahuac,22950000.0,615.0,,,19.4525041,-99.1884667,easyaviso,2025-05-09 13:26:37.667404
terreno en venta,29236800.0,865.0,,,19.4426938,-99.1689516,easyaviso,2025-05-09 13:26:37.667404
terreno con uso de suelo y proyecto incluido colonia anahuc,12000000.0,445.93,,,19.4447909,-99.1773645,easyaviso,2025-05-09 13:26:37.667404
estacionamiento publico en venta en centro historico en ciudad de mexico,35000000.0,780.0,,,19.4357068,-99.131757,easyaviso,2025-05-09 13:26:37.667404
excelente terreno en venta,18000000.0,565.0,,,19.4083972555,-99.1614473145,easyaviso,2025-05-09 13:26:37.667404
bodega en tacuba en venta como terreno,10000000.0,515.0,,,19.4445072,-99.1681686,easyaviso,2025-05-09 13:26:37.667404
oportunidad venta de terreno col.  anahuac 7750000.00,7750000.0,291.0,,,19.4410111,-99.1795604,easyaviso,2025-05-09 13:26:37.667404
venta de terreno en laguna de mayran col. anahuac,7750000.0,291.0,,,19.4410111,-99.1795604,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en col. anahuac,11000000.0,360.0,,,19.4396946,-99.1833554,easyaviso,2025-05-09 13:26:37.667404
terreno en colonia anahuac,11000000.0,360.0,,,19.4482122,-99.1851947,easyaviso,2025-05-09 13:26:37.667404
venta terreno san rafael cuauhtemoc,43000000.0,49.0,,,19.4330979,-99.1596941,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en centro historico en ciudad de mexico,35000000.0,780.0,,,19.4357068,-99.131757,easyaviso,2025-05-09 13:26:37.667404
terreno en venta en col. anahuac.,14800000.0,486.0,,,19.4432475,-99.1709172,easyaviso,2025-05-09 13:26:37.667404
land for sale cuauhtemoc,45000000.0,307.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
terrenos en venta cuauhtemoc,12000000.0,16.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
terrenos en venta cuautemoc,90000000.0,738.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
land for sale cuauhtemoc,1500000.0,675.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
terreno en venta cuautemoc,90000000.0,738.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
terreno en venta cuauhtemoc,12000000.0,16.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
terreno en venta cuauhtemoc,45000000.0,307.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
terreno en venta cuauhtemoc,1500000.0,675.0,,,19.4356338,-99.1495107,easyaviso,2025-05-09 13:26:37.667404
terreno en san rafael cuauhtemoc,200000000.0,775.0,,,19.4392516,-99.1636051,easyaviso,2025-05-09 13:26:37.667404
